config_id,power_mw,energy_mwh,scenario,dc_price_addition_percent,dam_weight,idm_weight,dc_weight,expected_return,portfolio_risk
6,50,75,up_10%,10.0,8.130088517624572e-17,0.2752253247181031,0.7247746752818968,4118.580034794968,2644.019205154221
6,50,75,up_15%,15.0,2.35863392001734e-16,0.27286496898054147,0.7271350310194583,4265.818990839183,2644.821439982252
6,50,75,up_20%,20.0,3.4202695697915993e-16,0.27118380024239763,0.7288161997576021,4413.207330168459,2645.399492892112
6,50,75,up_25%,25.0,0.0,0.2699285267897538,0.7300714732102465,4560.59400387255,2645.8348946719643
6,50,75,up_30%,30.0,0.0,0.26895641167412626,0.7310435883258741,4707.978091001264,2646.174454079854
7,100,150,base_case,0.0,0.0,0.28466748059581143,0.7153325194041888,7647.789290293098,5281.829650852969
7,100,150,down_80%,-80.0,0.8500510759246974,0.14994892407530275,1.0696709852210015e-16,6539.983932533341,4921.671535316751
7,100,150,down_75%,-75.0,0.8484041898693591,0.1515958101306402,7.36469559409837e-16,6540.51932128589,4921.945937881309
7,100,150,down_70%,-70.0,0.8464458744851096,0.15355412551489053,1.895603352199477e-16,6541.155953083995,4922.3159727708435
7,100,150,down_65%,-65.0,0.8440786188030712,0.1559213811969293,0.0,6541.925527920379,4922.821529545
7,100,150,down_60%,-60.0,0.8411648189812239,0.15883518101877733,0.0,6542.872779642349,4923.525479642058
7,100,150,down_55%,-55.0,0.8374936120343383,0.16250638796566108,6.532132637423296e-16,6544.066258026162,4924.5324109558915
7,100,150,down_50%,-50.0,0.832730107339354,0.16726989266064562,3.9757454377532573e-16,6545.614833186029,4926.02605021209
7,100,150,down_45%,-45.0,0.8263148136429457,0.17368518635705357,7.167596600959409e-16,6547.700391004824,4928.350367672366
7,100,150,down_40%,-40.0,0.8172246265681379,0.18277537343186193,2.3044934387878696e-16,6550.655534077823,4932.2115540448885
7,100,150,down_35%,-35.0,0.8033952286295962,0.1966047713704042,0.0,6555.151354591252,4939.22886032982
7,100,150,down_30%,-30.0,0.7800031208860684,0.21999687911393168,0.0,6562.755931327927,4953.71614571567
7,100,150,down_25%,-25.0,0.7331803372420733,0.2668196627579266,1.9038590148845458e-16,6577.9776229834815,4989.682397180409
7,100,150,down_20%,-20.0,0.6155928715958864,0.3844071284041136,8.673617379884035e-19,6616.204315318421,5099.541111782382
7,100,150,down_15%,-15.0,0.0,0.4450021935360089,0.5549978064639912,6797.173839639468,5234.9702640569685
7,100,150,down_10%,-10.0,0.0,0.32565598372161797,0.6743440162783823,7062.130292131587,5258.858652447765
7,100,150,down_5%,-5.0,1.524849317718217e-16,0.29612132500780236,0.7038786749921975,7353.615723282872,5274.746185172261
7,100,150,up_5%,5.0,0.0,0.2787759822001848,0.7212240177998154,7942.418220153874,5285.664546530441
7,100,150,up_10%,10.0,0.0,0.2752266540402727,0.7247733459597273,8237.01346899625,5288.037352617456
7,100,150,up_15%,15.0,5.27213938123645e-17,0.2728639194067581,0.7271360805932419,8531.785060330682,5289.643349896769
7,100,150,up_20%,20.0,1.3812812870119804e-16,0.27118371846961997,0.7288162815303799,8826.414657099787,5290.798803087843
7,100,150,up_25%,25.0,1.2819751242557095e-16,0.2699284495618199,0.7300715504381801,9121.188222055838,5291.66962643493
