Date,DAM_Daily_Profit,IDM_Daily_Profit,DC_Daily_Profit
2022-10-10,1492.86,1222.73,3485.4
2022-10-11,1405.91,1293.58,2480.3
2022-10-12,1014.37,1265.79,2053.1
2022-10-13,1243.97,1026.14,1365.8
2022-10-14,830.31,1468.38,4816.3
2022-10-15,775.74,644.85,1831.7
2022-10-16,1572.74,1215.14,1579.5
2022-10-17,1621.38,462.46,1929.0
2022-10-18,1250.94,1449.78,3081.0
2022-10-19,499.25,248.33,1532.2
2022-10-20,942.96,1109.06,1608.0
2022-10-21,555.04,621.58,594.6
2022-10-22,636.35,336.98,4060.2
2022-10-23,425.7,461.84,1840.6
2022-10-24,710.3,576.94,866.9
2022-10-25,664.22,785.68,924.2
2022-10-26,515.34,409.79,979.5
2022-10-27,474.3,680.25,680.0
2022-10-28,323.23,347.12,1352.3
2022-10-29,288.97,283.19,1048.6
2022-10-30,571.35,655.77,607.4
2022-10-31,538.96,415.32,811.8
2022-11-01,576.9,656.57,2539.8
2022-11-02,532.91,1566.29,1310.1
2022-11-03,991.28,1287.77,1601.6
2022-11-04,655.91,688.28,1097.3
2022-11-05,304.05,315.41,809.9
2022-11-06,678.62,435.08,2221.8
2022-11-07,1024.54,823.42,2185.0
2022-11-08,794.72,1211.68,2479.0
2022-11-09,880.57,1099.38,3489.9
2022-11-10,789.18,1800.13,1386.6
2022-11-11,1252.29,1870.6,2572.8
2022-11-12,512.85,671.05,1368.3
2022-11-13,628.06,462.27,1265.3
2022-11-14,1188.31,425.92,1707.5
2022-11-15,802.16,1048.12,985.0
2022-11-16,695.74,1515.48,696.6
2022-11-17,688.16,1460.92,937.0
2022-11-18,908.01,803.62,1207.7
2022-11-19,837.84,246.8,1829.1
2022-11-20,1464.7,1151.27,948.8
2022-11-21,778.15,708.64,1266.9
2022-11-22,1972.19,1573.96,1841.6
2022-11-23,485.61,500.7,1930.6
2022-11-24,706.92,678.55,1153.6
2022-11-25,584.68,291.42,5006.7
2022-11-26,275.79,78.79,1886.7
2022-11-27,1141.91,1538.22,1444.8
2022-11-28,6556.13,3051.8,11902.4
2022-11-29,9152.77,1805.26,4077.1
2022-11-30,1952.74,1467.67,4645.8
2022-12-01,1545.93,1460.21,1527.4
2022-12-02,910.12,483.88,620.8
2022-12-03,486.53,705.79,866.2
2022-12-04,756.07,870.77,1672.0
2022-12-05,1177.02,950.72,2703.7
