config_id,power_mw,energy_mwh,scenario,dc_price_addition_percent,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc,num_days
4,100,100,down_35%,-35.0,4468.9094,4726.5683,5186.1423,3120.6948,3891.5533,4031.7727,0.6646,0.7225,0.4759,366
4,100,100,down_30%,-30.0,4468.9094,4726.5683,5585.0604,3120.6948,3891.5533,4031.6994,0.6646,0.7225,0.4759,366
4,100,100,down_25%,-25.0,4468.9094,4726.5683,5983.979,3120.6948,3891.5533,4031.629,0.6646,0.7225,0.4759,366
4,100,100,down_20%,-20.0,4468.9094,4726.5683,6382.9967,3120.6948,3891.5533,4031.5616,0.6646,0.7225,0.4759,366
4,100,100,down_15%,-15.0,4468.9094,4726.5683,6781.8156,3120.6948,3891.5533,4031.4972,0.6646,0.7225,0.4759,366
4,100,100,down_10%,-10.0,4468.9094,4726.5683,7180.8336,3120.6948,3891.5533,4031.4357,0.6646,0.7225,0.4759,366
4,100,100,down_5%,-5.0,4468.9094,4726.5683,7579.6522,3120.6948,3891.5533,4031.3774,0.6646,0.7225,0.4759,366
4,100,100,up_5%,5.0,4468.9094,4726.5683,8377.6877,3120.6948,3891.5533,4031.2696,0.6646,0.7225,0.4759,366
4,100,100,up_10%,10.0,4468.9094,4726.5683,8776.5068,3120.6948,3891.5533,4031.2202,0.6646,0.7225,0.4759,366
4,100,100,up_15%,15.0,4468.9094,4726.5683,9175.5246,3120.6948,3891.5533,4031.1738,0.6646,0.7225,0.4759,366
4,100,100,up_20%,20.0,4468.9094,4726.5683,9574.3434,3120.6948,3891.5533,4031.1304,0.6646,0.7225,0.4759,366
4,100,100,up_25%,25.0,4468.9094,4726.5683,9973.3612,3120.6948,3891.5533,4031.09,0.6646,0.7225,0.4759,366
4,100,100,up_30%,30.0,4468.9094,4726.5683,10372.2795,3120.6948,3891.5533,4031.0525,0.6646,0.7225,0.4759,366
