config_id,power_mw,energy_mwh,risk_aversion,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk
11,100,200,3.0,0.49859518844806444,0.012008834662007813,0.4893959768899278,31479.301355657008,27855.167079196748
11,100,200,4.5,0.654364675993045,0.019371445638252927,0.326263878368702,28386.295209351745,26816.588455793306
11,100,200,6.0,0.7322472189344943,0.023055621497251926,0.24469715956825397,26839.776117026344,26301.404466697935
11,100,200,7.0,0.7656254554080885,0.024634548446191555,0.20973999614571998,26176.98226043698,26082.522522231313
11,100,200,8.0,0.7906591326477952,0.025818745940359815,0.183522121411845,25679.886824351524,25919.664999133518
11,100,200,9.0,0.8101297714321817,0.026739787777390445,0.16313044079042868,25293.25703634144,25794.128035630678
11,100,200,10.0,0.8257062818259127,0.027476621859462334,0.14681709631462583,24983.953205619764,25694.687113436103
12,200,400,0.5,1.1102230246251565e-16,0.0,1.0,82295.00493150686,62239.43246227444
12,200,400,1.0,1.1102230246251565e-16,0.0,1.0,82295.00493150686,62239.43246227444
12,200,400,2.0,0.26473389637363676,0.0011670723939476131,0.7340990312324157,72237.3334824526,58839.92887049689
12,200,400,3.0,0.49859518237524847,0.01200883604624271,0.48939598157850883,62958.603010614475,55710.33426280922
12,200,400,4.5,0.6543646671556431,0.019371449770528158,0.32626388307382864,56772.59075201698,53633.17703207594
12,200,400,6.0,0.7322472122634515,0.023055625105771495,0.2446971626307771,53679.552526388434,52602.80904515234
12,200,400,7.0,0.7656254483331834,0.02463455252560165,0.2097399991412157,52353.96481810571,52165.04516113705
12,200,400,8.0,0.7906591264385133,0.025818749853107132,0.18352212370838064,51359.77392629388,51839.330111778916
12,200,400,9.0,0.8101297645004585,0.026739791877093973,0.16313044258749668,50586.51434816425,51588.25618313799
12,200,400,10.0,0.825706276170001,0.027476625478141937,0.14681709835185708,49967.90668867306,51389.37434670794
13,300,600,0.5,0.0,2.7755575615628914e-16,0.9999999999999998,123442.50739726028,93359.14869341164
13,300,600,1.0,0.0,0.0,1.0,123442.50739726028,93359.14869341164
13,300,600,2.0,0.26473391670939644,0.0011670705638129487,0.7340990127267907,108355.9992640487,88259.89291962697
13,300,600,3.0,0.498595191798283,0.012008834211788139,0.48939597398992885,94437.90425115531,83565.50118298506
13,300,600,4.5,0.6543646771785313,0.019371445347453702,0.32626387747401503,85158.88603554538,80449.76535058524
13,300,600,6.0,0.7322472194152829,0.023055620856796452,0.24469715972792067,80519.32887466215,78904.21340335916
13,300,600,7.0,0.765625456618444,0.024634547768255462,0.20973999561330098,78530.94728936645,78247.56755688172
13,300,600,8.0,0.7906591343517605,0.025818744768881616,0.18352212087935807,77039.66100053731,77758.99498806812
13,300,600,9.0,0.8101297727612636,0.026739786868242903,0.16313044037049423,75879.77165573506,77382.38409926
13,300,600,10.0,0.8257062837898779,0.027476620375803753,0.1468170958343203,74951.8601731752,77084.06133216585
14,400,800,0.5,1.1102230246251565e-16,0.0,0.9999999999999998,164590.00986301372,124478.86492454886
14,400,800,1.0,5.551115123125783e-17,0.0,1.0,164590.00986301372,124478.86492454888
14,400,800,2.0,0.2647339178475582,0.0011670618945089602,0.7340990202579328,144474.66627082333,117679.85739282818
