Date,IDM_Daily_Profit
2023-09-04,137.81
2023-09-05,137.97
2023-09-06,170.01
2023-09-07,169.01
2023-09-08,208.7
2023-09-09,171.91
2023-09-10,151.07
2023-09-11,208.79
2023-09-12,200.52
2023-09-13,150.1
2023-09-14,168.64
2023-09-15,141.8
2023-09-16,108.79
2023-09-17,107.67
2023-09-18,173.07
2023-09-19,222.92
2023-09-20,279.55
2023-09-21,214.84
2023-09-22,149.48
2023-09-23,131.63
2023-09-24,249.07
2023-09-25,289.1
2023-09-26,189.17
2023-09-27,141.68
2023-09-28,264.89
2023-09-29,263.14
2023-09-30,149.42
2023-10-01,214.81
2023-10-02,196.0
2023-10-03,228.04
2023-10-04,224.11
2023-10-05,184.49
2023-10-06,227.45
2023-10-07,207.29
2023-10-08,157.62
2023-10-09,254.03
2023-10-10,146.3
2023-10-11,276.78
2023-10-12,273.53
2023-10-13,167.58
2023-10-14,322.05
2023-10-15,387.35
2023-10-16,354.62
2023-10-17,188.48
2023-10-18,276.9
2023-10-19,318.55
2023-10-20,299.68
2023-10-21,327.29
2023-10-22,322.64
2023-10-23,183.99
2023-10-24,185.45
2023-10-25,171.97
2023-10-26,148.04
2023-10-27,126.77
2023-10-28,178.28
2023-10-30,349.25
2023-10-31,219.59
2023-11-01,251.22
2023-11-02,269.94
2023-11-03,248.94
2023-11-04,146.98
2023-11-05,163.05
2023-11-06,153.72
2023-11-07,178.25
2023-11-08,178.74
2023-11-09,161.62
2023-11-10,124.08
2023-11-11,145.61
2023-11-12,136.91
2023-11-13,137.78
2023-11-14,201.52
2023-11-15,178.37
2023-11-16,297.55
2023-11-17,239.46
2023-11-18,126.64
2023-11-19,275.06
2023-11-20,194.03
2023-11-21,160.59
2023-11-22,98.53
2023-11-23,193.56
2023-11-24,297.9
2023-11-25,178.15
2023-11-26,161.24
2023-11-27,118.56
2023-11-28,146.98
2023-11-29,247.2
2023-11-30,331.5
2023-12-01,378.27
2023-12-02,258.74
2023-12-03,196.19
2023-12-04,151.82
2023-12-05,147.2
2023-12-06,180.34
2023-12-07,116.34
2023-12-08,90.45
2023-12-09,117.34
2023-12-10,222.39
2023-12-11,213.47
2023-12-12,129.04
2023-12-13,97.13
2023-12-14,94.47
2023-12-15,78.25
2023-12-16,90.76
2023-12-17,157.81
2023-12-18,132.91
2023-12-19,94.54
2023-12-20,131.73
2023-12-21,194.53
2023-12-22,216.5
2023-12-23,171.88
2023-12-24,134.97
2023-12-25,183.18
2023-12-26,238.87
2023-12-27,142.3
2023-12-28,200.18
2023-12-29,224.98
2023-12-30,149.39
2023-12-31,214.56
