config_id,power_mw,energy_mwh,risk_aversion,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,num_trading_days,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc
6,50,75,0.5,3.3306690738754696e-16,1.6653345369377348e-16,0.9999999999999993,7178.298342541435,5925.571547700087,181,4315.860220994475,4438.032762430939,7178.298342541437,4070.3876753920244,6374.830565965751,3113.7218396152925,0.3532096383432561,0.8285265402987964,0.35482675249445583
6,50,75,1.0,0.0,0.0,1.0,7178.298342541437,5925.571547700087,181,4315.860220994475,4438.032762430939,7178.298342541437,4070.3876753920244,6374.830565965751,3113.7218396152925,0.3532096383432561,0.8285265402987964,0.35482675249445583
6,50,75,2.0,0.0,0.13203315914029978,0.8679668408597003,6816.492421116021,5675.934359538705,181,4315.860220994475,4438.032762430939,7178.298342541437,4070.3876753920244,6374.830565965751,3113.7218396152925,0.3532096383432561,0.8285265402987964,0.35482675249445583
6,50,75,3.0,2.1575804096726662e-16,0.22099674779986977,0.779003250553576,6572.708558154041,5543.826126897988,181,4315.860220994475,4438.032762430939,7178.298342541437,4070.3876753920244,6374.830565965751,3113.7218396152925,0.3532096383432561,0.8285265402987964,0.35482675249445583
6,50,75,4.5,0.0,0.2804485526315234,0.7195514473684766,6409.794826773466,5479.117316642256,181,4315.860220994475,4438.032762430939,7178.298342541437,4070.3876753920244,6374.830565965751,3113.7218396152925,0.3532096383432561,0.8285265402987964,0.35482675249445583
6,50,75,6.0,0.24431757345339034,0.24010723708360593,0.5155751894630037,5820.996809208966,5296.855313284532,181,4315.860220994475,4438.032762430939,7178.298342541437,4070.3876753920244,6374.830565965751,3113.7218396152925,0.3532096383432561,0.8285265402987964,0.35482675249445583
6,50,75,7.0,0.3755446159782874,0.2152026910374993,0.40925269298421324,5513.612590426259,5204.612314734423,181,4315.860220994475,4438.032762430939,7178.298342541437,4070.3876753920244,6374.830565965751,3113.7218396152925,0.3532096383432561,0.8285265402987964,0.35482675249445583
6,50,75,8.0,0.4739649287336959,0.19652427110263207,0.32951080016367207,5283.0743664989695,5137.415744352794,181,4315.860220994475,4438.032762430939,7178.298342541437,4070.3876753920244,6374.830565965751,3113.7218396152925,0.3532096383432561,0.8285265402987964,0.35482675249445583
6,50,75,9.0,0.5505140407490859,0.18199661802292022,0.26748934122799395,5103.76689778967,5086.763927681462,181,4315.860220994475,4438.032762430939,7178.298342541437,4070.3876753920244,6374.830565965751,3113.7218396152925,0.3532096383432561,0.8285265402987964,0.35482675249445583
6,50,75,10.0,0.6117533234608845,0.17037449762901374,0.21787217891010166,4960.320936902547,5047.559953508588,181,4315.860220994475,4438.032762430939,7178.298342541437,4070.3876753920244,6374.830565965751,3113.7218396152925,0.3532096383432561,0.8285265402987964,0.35482675249445583
7,100,150,0.5,5.551115123125783e-17,2.220446049250313e-16,0.9999999999999996,14356.596685082872,11851.14217614531,181,8631.72011049724,8876.064585635359,14356.596685082874,8140.774370717716,12749.660733115541,6227.443679230585,0.3532096065517894,0.8285265502749153,0.3548267851904578
7,100,150,1.0,0.0,5.551115123125783e-17,1.0,14356.596685082874,11851.142176145311,181,8631.72011049724,8876.064585635359,14356.596685082874,8140.774370717716,12749.660733115541,6227.443679230585,0.3532096065517894,0.8285265502749153,0.3548267851904578
