config_id,power_mw,energy_mwh,risk_aversion,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,num_trading_days,num_2024_days,num_2025_days,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc
5,10,15,3.0,3.423149006105845e-15,0.13918775742254205,0.8608122425774545,974.9101464512352,775.855097677781,550,369,181,717.7340181818181,748.1059818181819,1011.5829090909093,608.8884829156802,874.5338952405598,571.1711921531233,0.4652530660987102,0.7360805391151303,0.3862530820321217
5,10,15,4.5,3.557506042126385e-16,0.20086428682688054,0.799135713173119,958.659803998935,768.7236482194762,550,369,181,717.7340181818181,748.1059818181819,1011.5829090909093,608.8884829156802,874.5338952405598,571.1711921531233,0.4652530660987102,0.7360805391151303,0.3862530820321217
5,10,15,6.0,8.863656132549241e-17,0.23170255003186285,0.7682974499681371,950.5346331672587,766.0798341743564,550,369,181,717.7340181818181,748.1059818181819,1011.5829090909093,608.8884829156802,874.5338952405598,571.1711921531233,0.4652530660987102,0.7360805391151303,0.3862530820321217
5,10,15,7.0,0.0,0.24491895035977512,0.7550810496402248,947.0524166192541,765.1580991116275,550,369,181,717.7340181818181,748.1059818181819,1011.5829090909093,608.8884829156802,874.5338952405598,571.1711921531233,0.4652530660987102,0.7360805391151303,0.3862530820321217
5,10,15,8.0,0.0,0.2548312495955218,0.7451687504044782,944.4407544744117,764.5541525303568,550,369,181,717.7340181818181,748.1059818181819,1011.5829090909093,608.8884829156802,874.5338952405598,571.1711921531233,0.4652530660987102,0.7360805391151303,0.3862530820321217
5,10,15,9.0,3.505400730386705e-18,0.26254081647275573,0.7374591835272443,942.4094614829946,764.1374300721192,550,369,181,717.7340181818181,748.1059818181819,1011.5829090909093,608.8884829156802,874.5338952405598,571.1711921531233,0.4652530660987102,0.7360805391151303,0.3862530820321217
5,10,15,10.0,0.06210962055840017,0.26095258643349756,0.6769377930081023,924.5770803376702,760.8249397814242,550,369,181,717.7340181818181,748.1059818181819,1011.5829090909093,608.8884829156802,874.5338952405598,571.1711921531233,0.4652530660987102,0.7360805391151303,0.3862530820321217
6,50,75,0.5,1.1102230246251565e-16,0.0,1.0,5057.912363636363,3992.787101893805,550,369,181,3588.6710000000003,3740.5306727272728,5057.912363636363,3044.4425735064233,4372.668872707334,2855.861586746102,0.46525302373992994,0.736079670890021,0.3862504620251802
6,50,75,1.0,0.0,0.0,1.0,5057.912363636363,3992.787101893805,550,369,181,3588.6710000000003,3740.5306727272728,5057.912363636363,3044.4425735064233,4372.668872707334,2855.861586746102,0.46525302373992994,0.736079670890021,0.3862504620251802
6,50,75,2.0,0.0,0.046670236596639894,0.9533297634033626,4996.429848433557,3950.7469585592444,550,369,181,3588.6710000000003,3740.5306727272728,5057.912363636363,3044.4425735064233,4372.668872707334,2855.861586746102,0.46525302373992994,0.736079670890021,0.3862504620251802
