config_id,power_mw,energy_mwh,scenario,dc_price_scale_factor,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc,num_trading_days
4,100,100,up_15%,1.15,4468.9094,4726.5683,9175.4708,3120.6948,3891.5533,4636.0194,0.6646,0.7225,0.4759,366
4,100,100,up_25%,1.25,4468.9094,4726.5683,9973.3377,3120.6948,3891.5533,5039.1525,0.6646,0.7225,0.4759,366
4,100,100,up_20%,1.2,4468.9094,4726.5683,9574.4068,3120.6948,3891.5533,4837.5867,0.6646,0.7225,0.4759,366
4,100,100,up_30%,1.3,4468.9094,4726.5683,10372.2683,3120.6948,3891.5533,5240.7184,0.6646,0.7225,0.4759,366
5,10,15,base_case,1.0,649.1234,681.6327,797.8669,461.1413,575.0353,403.1331,0.6687,0.7221,0.4698,366
5,10,15,down_35%,0.65,649.1234,681.6327,518.615,461.1413,575.0353,262.0369,0.6687,0.7221,0.4698,366
5,10,15,down_40%,0.6,649.1234,681.6327,478.7186,461.1413,575.0353,241.8784,0.6687,0.7221,0.4698,366
5,10,15,down_50%,0.5,649.1234,681.6327,398.9309,461.1413,575.0353,201.5658,0.6687,0.7221,0.4698,366
5,10,15,down_45%,0.55,649.1234,681.6327,438.8262,461.1413,575.0353,221.722,0.6687,0.7221,0.4698,366
5,10,15,down_55%,0.45,649.1234,681.6327,359.041,461.1413,575.0353,181.4099,0.6687,0.7221,0.4698,366
5,10,15,down_60%,0.4,649.1234,681.6327,319.1464,461.1413,575.0353,161.2511,0.6687,0.7221,0.4698,366
5,10,15,down_65%,0.35,649.1234,681.6327,279.2549,461.1413,575.0353,141.0972,0.6687,0.7221,0.4698,366
5,10,15,down_70%,0.3,649.1234,681.6327,239.3598,461.1413,575.0353,120.9383,0.6687,0.7221,0.4698,366
5,10,15,down_75%,0.25,649.1234,681.6327,199.4669,461.1413,575.0353,100.7821,0.6687,0.7221,0.4698,366
5,10,15,down_80%,0.2,649.1234,681.6327,159.5697,461.1413,575.0353,80.6252,0.6687,0.7221,0.4699,366
5,10,15,down_30%,0.7,649.1234,681.6327,558.5077,461.1413,575.0353,282.1933,0.6687,0.7221,0.4698,366
5,10,15,down_25%,0.75,649.1234,681.6327,598.403,461.1413,575.0353,302.3494,0.6687,0.7221,0.4698,366
5,10,15,down_20%,0.8,649.1234,681.6327,638.2929,461.1413,575.0353,322.5053,0.6687,0.7221,0.4698,366
5,10,15,down_15%,0.85,649.1234,681.6327,678.1872,461.1413,575.0353,342.6642,0.6687,0.7221,0.4698,366
5,10,15,down_10%,0.9,649.1234,681.6327,718.0787,461.1413,575.0353,362.8181,0.6687,0.7221,0.4698,366
5,10,15,down_5%,0.95,649.1234,681.6327,757.974,461.1413,575.0353,382.977,0.6687,0.7221,0.4698,366
5,10,15,up_5%,1.05,649.1234,681.6327,837.7642,461.1413,575.0353,423.29,0.6687,0.7221,0.4698,366
5,10,15,up_10%,1.1,649.1234,681.6327,877.6522,461.1413,575.0353,443.4461,0.6687,0.7221,0.4698,366
5,10,15,up_15%,1.15,649.1234,681.6327,917.5475,461.1413,575.0353,463.6019,0.6687,0.7221,0.4698,366
5,10,15,up_25%,1.25,649.1234,681.6327,997.3339,461.1413,575.0353,503.9152,0.6687,0.7221,0.4698,366
5,10,15,up_20%,1.2,649.1234,681.6327,957.4391,461.1413,575.0353,483.7568,0.6687,0.7221,0.4698,366
5,10,15,up_30%,1.3,649.1234,681.6327,1037.2287,461.1413,575.0353,524.0736,0.6687,0.7221,0.4698,366
6,50,75,base_case,1.0,3245.6184,3408.1642,3989.335,2305.7077,2875.1755,2015.661,0.6687,0.7221,0.4698,366
6,50,75,down_35%,0.65,3245.6184,3408.1642,2593.0705,2305.7077,2875.1755,1310.1799,0.6687,0.7221,0.4698,366
6,50,75,down_40%,0.6,3245.6184,3408.1642,2393.5984,2305.7077,2875.1755,1209.3963,0.6687,0.7221,0.4698,366
6,50,75,down_50%,0.5,3245.6184,3408.1642,1994.6675,2305.7077,2875.1755,1007.8305,0.6687,0.7221,0.4698,366
6,50,75,down_45%,0.55,3245.6184,3408.1642,2194.1344,2305.7077,2875.1755,1108.6126,0.6687,0.7221,0.4698,366
6,50,75,down_55%,0.45,3245.6184,3408.1642,1795.2005,2305.7077,2875.1755,907.0484,0.6687,0.7221,0.4698,366
