registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,4.65,2025-03-23T23:00:00,2025-03-24T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,4.55,2025-03-24T23:00:00,2025-03-25T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,4,2025-03-24T23:00:00,2025-03-25T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,5.69,2025-03-25T23:00:00,2025-03-26T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.4,2025-03-25T23:00:00,2025-03-26T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.2,2025-03-26T23:00:00,2025-03-27T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,3.18,2025-03-26T23:00:00,2025-03-27T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.69,2025-03-27T23:00:00,2025-03-28T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,5.02,2025-03-27T23:00:00,2025-03-28T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,0.98,2025-03-28T23:00:00,2025-03-29T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,4.68,2025-03-28T23:00:00,2025-03-29T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,6.02,2025-03-29T23:00:00,2025-03-30T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,5.6,2025-03-29T23:00:00,2025-03-30T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,10.11,2025-03-30T22:00:00,2025-03-31T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,3.32,2025-03-30T22:00:00,2025-03-31T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,3.69,2025-03-31T22:00:00,2025-04-01T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.77,2025-03-31T22:00:00,2025-04-01T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,3.61,2025-04-04T22:00:00,2025-04-05T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.33,2025-04-04T22:00:00,2025-04-05T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.95,2025-04-05T22:00:00,2025-04-06T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,3.5,2025-04-05T22:00:00,2025-04-06T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.25,2025-04-06T22:00:00,2025-04-07T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,4,2025-04-06T22:00:00,2025-04-07T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.4,2025-04-07T22:00:00,2025-04-08T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.25,2025-04-07T22:00:00,2025-04-08T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.67,2025-04-08T22:00:00,2025-04-09T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.7,2025-04-08T22:00:00,2025-04-09T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,1.83,2025-04-09T22:00:00,2025-04-10T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.23,2025-04-09T22:00:00,2025-04-10T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.72,2025-04-10T22:00:00,2025-04-11T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.54,2025-04-10T22:00:00,2025-04-11T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.76,2025-04-11T22:00:00,2025-04-12T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.12,2025-04-11T22:00:00,2025-04-12T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.49,2025-04-12T22:00:00,2025-04-13T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.94,2025-04-12T22:00:00,2025-04-13T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.23,2025-04-13T22:00:00,2025-04-14T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,4.69,2025-04-13T22:00:00,2025-04-14T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,1.83,2025-04-14T22:00:00,2025-04-15T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,3.85,2025-04-14T22:00:00,2025-04-15T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,3,2025-04-16T22:00:00,2025-04-17T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,3.03,2025-04-16T22:00:00,2025-04-17T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,1.28,2025-04-17T22:00:00,2025-04-18T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,0.97,2025-04-17T22:00:00,2025-04-18T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,4.08,2025-04-18T22:00:00,2025-04-19T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.32,2025-04-18T22:00:00,2025-04-19T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,1.71,2025-04-19T22:00:00,2025-04-20T02:00:00,,
