registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3.71,2023-11-08T07:00:00,2023-11-08T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,12.09,2023-11-08T07:00:00,2023-11-08T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3,2023-11-08T11:00:00,2023-11-08T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10.29,2023-11-08T11:00:00,2023-11-08T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3,2023-11-08T15:00:00,2023-11-08T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,17.52,2023-11-08T15:00:00,2023-11-08T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3.56,2023-11-08T19:00:00,2023-11-08T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,11.99,2023-11-08T19:00:00,2023-11-08T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-2.51,2023-11-08T23:00:00,2023-11-09T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10.14,2023-11-08T23:00:00,2023-11-09T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-1.08,2023-11-09T03:00:00,2023-11-09T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,9.83,2023-11-09T03:00:00,2023-11-09T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-5.48,2023-11-09T07:00:00,2023-11-09T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,15.04,2023-11-09T07:00:00,2023-11-09T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3.64,2023-11-09T11:00:00,2023-11-09T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,12.14,2023-11-09T11:00:00,2023-11-09T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-6.62,2023-11-09T15:00:00,2023-11-09T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,17,2023-11-09T15:00:00,2023-11-09T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-6.24,2023-11-09T19:00:00,2023-11-09T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,13.67,2023-11-09T19:00:00,2023-11-09T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-2.05,2023-11-09T23:00:00,2023-11-10T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,11,2023-11-09T23:00:00,2023-11-10T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-2.2,2023-11-10T03:00:00,2023-11-10T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,11.26,2023-11-10T03:00:00,2023-11-10T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-8.15,2023-11-10T07:00:00,2023-11-10T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,14,2023-11-10T07:00:00,2023-11-10T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3.14,2023-11-10T11:00:00,2023-11-10T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,11,2023-11-10T11:00:00,2023-11-10T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-7.05,2023-11-10T15:00:00,2023-11-10T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,18.45,2023-11-10T15:00:00,2023-11-10T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-2.58,2023-11-10T19:00:00,2023-11-10T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,14,2023-11-10T19:00:00,2023-11-10T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-3.44,2023-11-10T23:00:00,2023-11-11T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,9.97,2023-11-10T23:00:00,2023-11-11T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,22,0.5,2023-11-11T03:00:00,2023-11-11T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,9.57,2023-11-11T03:00:00,2023-11-11T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-4.45,2023-11-11T07:00:00,2023-11-11T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,12.76,2023-11-11T07:00:00,2023-11-11T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3.98,2023-11-11T11:00:00,2023-11-11T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10.48,2023-11-11T11:00:00,2023-11-11T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-6.34,2023-11-11T15:00:00,2023-11-11T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,18.34,2023-11-11T15:00:00,2023-11-11T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-5.96,2023-11-11T19:00:00,2023-11-11T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,12.75,2023-11-11T19:00:00,2023-11-11T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-5.69,2023-11-11T23:00:00,2023-11-12T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,13.01,2023-11-11T23:00:00,2023-11-12T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3.47,2023-11-12T03:00:00,2023-11-12T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,9.84,2023-11-12T03:00:00,2023-11-12T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10.79,2023-11-12T07:00:00,2023-11-12T11:00:00,,
