registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Delivery quantity (MW) ,clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.71,2023-12-29T11:00:00,2023-12-29T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.34,2023-12-29T19:00:00,2023-12-29T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1,2023-12-30T19:00:00,2023-12-30T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.71,2023-12-30T03:00:00,2023-12-30T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.46,2023-12-29T23:00:00,2023-12-30T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.36,2023-12-30T15:00:00,2023-12-30T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.49,2023-12-30T07:00:00,2023-12-30T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.87,2023-12-31T11:00:00,2023-12-31T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,2.94,2023-12-31T15:00:00,2023-12-31T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.05,2023-12-30T23:00:00,2023-12-31T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.45,2023-12-31T19:00:00,2023-12-31T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.51,2023-12-31T03:00:00,2023-12-31T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.19,2023-12-31T07:00:00,2023-12-31T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.55,2024-01-02T23:00:00,2024-01-03T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.65,2024-01-03T03:00:00,2024-01-03T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.29,2024-01-03T19:00:00,2024-01-03T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.88,2024-01-03T23:00:00,2024-01-04T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.62,2024-01-04T03:00:00,2024-01-04T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.25,2024-01-04T19:00:00,2024-01-04T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.78,2024-01-04T23:00:00,2024-01-05T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.63,2024-01-05T03:00:00,2024-01-05T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.5,2024-01-05T19:00:00,2024-01-05T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.43,2024-01-05T23:00:00,2024-01-06T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.55,2024-01-06T03:00:00,2024-01-06T07:00:00,,
